日期,股票代码,名称,收盘价,最高价,最低价,开盘价,
2018-09-14,'600841,上柴股份,8.11,8.22,8.07,8.2,
2018-09-13,'600841,上柴股份,8.18,8.21,8.09,8.19,
2018-09-12,'600841,上柴股份,8.11,8.18,8.04,8.08,
2018-09-11,'600841,上柴股份,8.08,8.15,8.03,8.13,
2018-09-10,'600841,上柴股份,8.09,8.23,8.09,8.22,
2018-09-07,'600841,上柴股份,8.21,8.36,8.18,8.27,
2018-09-06,'600841,上柴股份,8.27,8.33,8.18,8.25,
2018-09-05,'600841,上柴股份,8.24,8.4,8.19,8.26,
2018-09-04,'600841,上柴股份,8.23,8.25,8.1,8.13,
2018-09-03,'600841,上柴股份,8.13,8.24,8.02,8.23,
2018-08-31,'600841,上柴股份,8.27,8.37,8.25,8.32,
2018-08-30,'600841,上柴股份,8.33,8.43,8.31,8.41,
2018-08-29,'600841,上柴股份,8.41,8.51,8.39,8.48,
2018-08-28,'600841,上柴股份,8.51,8.56,8.48,8.56,
2018-08-27,'600841,上柴股份,8.51,8.54,8.35,8.37,
2018-08-24,'600841,上柴股份,8.35,8.45,8.35,8.43,
2018-08-23,'600841,上柴股份,8.41,8.47,8.29,8.29,
2018-08-22,'600841,上柴股份,8.36,8.52,8.35,8.52,
2018-08-21,'600841,上柴股份,8.49,8.53,8.4,8.43,
2018-08-20,'600841,上柴股份,8.42,8.48,8.3,8.39,
2018-08-17,'600841,上柴股份,8.41,8.66,8.36,8.62,
2018-08-16,'600841,上柴股份,8.55,8.69,8.44,8.64,
2018-08-15,'600841,上柴股份,8.66,8.89,8.64,8.83,
2018-08-14,'600841,上柴股份,8.86,8.93,8.62,8.69,
2018-08-13,'600841,上柴股份,8.69,8.72,8.46,8.46,
2018-08-10,'600841,上柴股份,8.8,8.84,8.73,8.81,
2018-08-09,'600841,上柴股份,8.79,8.85,8.53,8.67,
2018-08-08,'600841,上柴股份,8.71,8.85,8.62,8.8,
2018-08-07,'600841,上柴股份,8.84,8.84,8.61,8.73,
2018-08-06,'600841,上柴股份,8.65,9.0,8.58,9.0,
2018-08-03,'600841,上柴股份,8.96,9.08,8.9,8.9,
2018-08-02,'600841,上柴股份,9.0,9.34,8.73,9.3,
2018-08-01,'600841,上柴股份,9.45,9.88,9.42,9.48,
2018-07-31,'600841,上柴股份,9.45,9.6,9.42,9.6,
2018-07-30,'600841,上柴股份,9.6,9.71,9.42,9.5,
2018-07-27,'600841,上柴股份,9.59,9.74,9.3,9.38,
